!Series_title	"Alteration of peripheral blood monocyte gene expression in humans following diesel exhaust inhalation"
!Series_geo_accession	"GSE25531"
!Series_status	"Public on Nov 17 2013"
!Series_submission_date	"Nov 22 2010"
!Series_last_update_date	"Jan 23 2019"
!Series_summary	"Background: Epidemiologic associations between acutely increased cardiorespiratory morbidity and mortality and particulate air pollution are well-established, but the effects of acute pollution exposure on human gene expression changes are not well understood."
!Series_summary	""
!Series_summary	"Objectives: In order to identify potential mechanisms underlying epidemiologic associations between air pollution and morbidity, we explored changes in gene expression in humans following inhalation of fresh diesel exhaust (DE), a model for particulate air pollution."
!Series_summary	""
!Series_summary	"Methods: 14 ethnically homogeneous (white males), young, healthy subjects underwent sixty minute inhalation exposures on 2 separate days with clean air (CA) or freshly generated and diluted DE at a concentration of 300 μg/m3 PM2.5. Prior to and 24 hours following each session, whole blood was sampled and fractionated for PBMC isolation, RNA extraction, and generation of cDNA, followed by hybridization with Agilent Whole Human Genome (4X44K) arrays."
!Series_summary	""
!Series_summary	"Results: Oxidative stress and the ubiquitin proteasome pathway, as well as the coagulation system, were among hypothesized pathways identified by analysis of differentially expressed genes. Nine genes from these pathways were validated using real-time PCR comparing fold change in expression between DE exposed and clean (CA) days. Quantitative gene fold changes generated by real-time PCR were consistent with the directional fold changes from the microarray analysis."
!Series_summary	""
!Series_summary	"Conclusions: Changes in gene expression connected with key oxidative stress, protein degradation, and coagulation pathways are likely to underlie observed physiologic and clinical outcomes and suggest specific avenues and sensitive time points for further physiologic exploration."
!Series_overall_design	"Diesel exhaust inhalation exposure-induced human gene expression changes were measured in peripheral blood mononuclear cells. 14 white males subjects were seated in a controlled environment facility for 2 separate 60 minute inhalation exposures which occurred at least 1 week apart to either clean air and freshly generate or diluted diesel exhaust (300ug/m3 PM2.5) .Blood collection occurred immediately prior to and 24 hours following exposures. Two microarrays per subject were completed using Agilent Whole Human Genome (4X44K) arrays. Genes that were of interest to our research group were verified using Real Time PCR analysis."
!Series_type	"Expression profiling by array"
!Series_contributor	"Ashley,P,Pettit"
!Series_contributor	"Howard,M,Kipen"
!Series_sample_id	"GSM627624 GSM627625 GSM627626 GSM627627 GSM627628 GSM627629 GSM627630 GSM627631 GSM627632 GSM627633 GSM627634 GSM627635 GSM627636 GSM627637 GSM627638 GSM627639 GSM627640 GSM627641 GSM627642 GSM627643 GSM627644 GSM627645 GSM627646 GSM627647 GSM627648 GSM627649 GSM627650 GSM627651 "
!Series_contact_name	"Howard,,Kipen"
!Series_contact_email	"kipen@eohsi.rutgers.edu"
!Series_contact_institute	"University of Medicine and Dentistry-Robert Wood Johnson Medical School"
